,Code,Weight_g_min,Weight_g_q25,Weight_g_median,Weight_g_mean,Weight_g_stdev,Weight_g_ci_lower,Weight_g_ci_upper,Weight_g_q75,Weight_g_max,Length_min,Length_q25,Length_median,Length_mean,Length_stdev,Length_ci_lower,Length_ci_upper,Length_q75,Length_max,Width_min,Width_q25,Width_median,Width_mean,Width_stdev,Width_ci_lower,Width_ci_upper,Width_q75,Width_max,cod_count_min,cod_count_q25,cod_count_median,cod_count_mean,cod_count_stdev,cod_count_ci_lower,cod_count_ci_upper,cod_count_q75,cod_count_max
1,AMPH,0.001,0.01625,0.0315,0.0315,0.043133514,-0.356039244,0.419039244,0.04675,0.062,0.3535,0.410875,0.46825,0.46825,0.162281006,-0.989786993,1.926286993,0.525625,0.583,0.1965,0.222875,0.24925,0.24925,0.074599765,-0.4210023,0.9195023,0.275625,0.302,3,3,3,3,0,3,3,3,3
2,BIVL,0.001,0.07575,0.2675,0.753210256,1.117580168,0.501234863,1.00518565,0.952,5.306,0.3321,0.8191,1.2967,1.593811538,1.055745589,1.355777688,1.831845389,2.17765,5.2143,0.1859,0.55975,0.9998,1.079619231,0.679551424,0.926404059,1.232834403,1.54825,3.065,84,84,84,84,0,84,84,84,84
3,CARD,1e-04,0.0375,0.0745,0.243783065,0.385671438,0.175226556,0.312339573,0.22775,1.876,0.209,1.3554,1.70165,2.10253629,1.212744628,1.88696021,2.31811237,2.624325,5.8727,0.086,0.259425,0.34915,0.435028226,0.275553946,0.386046076,0.484010376,0.51475,2.064,146,146,146,146,0,146,146,146,146
4,CEPH,2.069,2.10975,2.1505,2.1505,0.115258405,1.114944314,3.186055686,2.19125,2.232,4.265,4.3505,4.436,4.436,0.241830519,2.26323899,6.60876101,4.5215,4.607,1.891,1.987,2.083,2.083,0.271529004,-0.356591309,4.522591309,2.179,2.275,2,2,2,2,0,2,2,2,2
5,ECHN,0.017,0.06475,0.086,0.488142857,0.967330176,-0.070376958,1.046662673,0.2045,2.834,0.3923,0.506825,0.63895,1.474828571,2.580198599,-0.014933746,2.964590889,1.19585,10.326,0.28,0.447025,0.6051,1.293092857,2.313344951,-0.042592751,2.628778466,0.9789,9.253,14,14,14,14,0,14,14,14,14
6,FISH,0.255,0.6155,1.1945,1.4699375,1.195630627,0.832830911,2.107044089,1.7885,4.708,1.012,3.339175,3.82195,3.7185,1.478441288,2.930694247,4.506305753,4.525025,5.918,0.5024,0.696325,1.1779,1.50185,1.32221771,0.797289916,2.206410084,1.352325,5.418,16,16,16,16,0,16,16,16,16
7,GAST,1e-04,0.121,0.431,0.800003252,1.010226123,0.619683435,0.980323069,0.999,6.834,0.0054,0.943,1.3062,1.501882927,0.84386048,1.351258464,1.65250739,1.7594,5.457,0.1468,0.53995,0.776,0.905673171,0.579801642,0.802181761,1.009164581,1.0954,3.816,139,139,139,139,0,139,139,139,139
8,GLRH,1e-04,0.08,0.497,0.548370588,0.469880717,0.434635225,0.662105952,0.8615,1.727,0.2349,0.576375,0.97005,0.921825,0.341010978,0.839282759,1.004367241,1.21735,1.4814,0.1987,0.481075,0.7566,0.744658824,0.292804225,0.673785102,0.815532545,0.93875,1.505,72,72,72,72,0,72,72,72,72
9,HCOR,1.259,2.348,2.513,3.3354,2.32672652,0.446387446,6.224412554,3.261,7.296,2.385,2.532,2.785,3.0076,0.626594207,2.229580532,3.785619468,3.536,3.8,1.593,2.376,2.421,2.5436,0.819782166,1.525705998,3.561494002,2.467,3.861,5,5,5,5,0,5,5,5,5
10,HOLO,0.047,0.0495,0.052,0.052,0.007071068,-0.011531024,0.115531024,0.0545,0.057,1.242,1.2675,1.293,1.293,0.072124892,0.644983558,1.941016442,1.3185,1.344,0.357,0.36775,0.3785,0.3785,0.030405592,0.105316598,0.651683402,0.38925,0.4,2,2,2,2,0,2,2,2,2
11,ISOP,0.006,0.0105,0.0155,0.0145,0.006855655,0.003591124,0.025408876,0.0195,0.021,0.582,0.69075,0.848,1.073,0.647326296,0.042959411,2.103040589,1.23025,2.014,0.144,0.282,0.3495,0.33075,0.1399747,0.108019016,0.553480984,0.39825,0.48,4,4,4,4,0,4,4,4,4
12,MTHR,1e-04,0.03625,0.1395,0.320065306,0.564762605,0.206837566,0.433293046,0.3235,3.6,0.2374,0.46205,0.7454,0.868213265,0.617310714,0.744450296,0.991976234,1.0325,3.933,0.203,0.397775,0.65305,0.868756122,0.624239106,0.743604099,0.993908146,1.15625,3.233,102,102,102,102,0,102,102,102,102
13,MYSD,0.018,0.018,0.018,0.018,NA,NA,NA,0.018,0.018,3.013,3.013,3.013,3.013,NA,NA,NA,3.013,3.013,0.399,0.399,0.399,0.399,NA,NA,NA,0.399,0.399,1,1,1,1,NA,NA,NA,1,1
14,OPHR,1e-04,0.048,0.1,0.2073,0.265154975,0.102408185,0.312191815,0.1905,0.875,0.229,0.31305,0.572,0.775918519,0.676981179,0.508113683,1.043723354,0.876,3.278,0.178,0.27235,0.407,0.646562963,0.660297595,0.385357934,0.907767992,0.7373,3.334,44,44,44,44,0,44,44,44,44
15,OTHR,0.369,0.394,0.419,0.564333333,0.296083322,-0.171178412,1.299845078,0.662,0.905,1.259,1.3205,1.382,1.755,0.755084763,-0.120734536,3.630734536,2.003,2.624,0.563,0.5705,0.578,0.726333333,0.270015432,0.055577817,1.39708885,0.808,1.038,3,3,3,3,0,3,3,3,3
16,OTSI,0.341,0.8805,1.533,2.317727273,2.254935968,0.802840677,3.832613869,2.9945,7.431,1.603,1.8825,2.279,3.339181818,2.172451142,1.879709282,4.798654354,4.3175,8.397,0.881,1.197,1.812,1.716363636,0.638565466,1.287369519,2.145357754,2.0825,2.857,11,11,11,11,0,11,11,11,11
17,PAGR,0.024,0.468,0.941,1.220723077,1.026665788,0.966327751,1.475118403,1.8,5.736,0.0722,1.3461,1.677,1.814566154,0.734334442,1.632606989,1.996525319,2.2807,3.983,0.0347,0.7681,0.8482,0.929533846,0.37738434,0.836022585,1.023045107,1.0561,2.516,71,71,71,71,0,71,71,71,71
18,PALN,0.085,0.0915,0.098,0.098,0.018384776,-0.067180662,0.263180662,0.1045,0.111,0.455,0.47825,0.5015,0.5015,0.065760931,-0.08933852,1.09233852,0.52475,0.548,0.817,0.8685,0.92,0.92,0.145663997,-0.388739088,2.228739088,0.9715,1.023,2,2,2,2,0,2,2,2,2
19,PENA,0.222,0.222,0.222,0.222,NA,NA,NA,0.222,0.222,2.856,2.856,2.856,2.856,NA,NA,NA,2.856,2.856,0.428,0.428,0.428,0.428,NA,NA,NA,0.428,0.428,1,1,1,1,NA,NA,NA,1,1
20,PLGS,0.176,0.176,0.176,0.176,NA,NA,NA,0.176,0.176,0.762,0.762,0.762,0.762,NA,NA,NA,0.762,0.762,0.654,0.654,0.654,0.654,NA,NA,NA,0.654,0.654,1,1,1,1,NA,NA,NA,1,1
21,PLMN,0.107,0.317,0.725,1.444,2.175341525,-0.228115517,3.116115517,1,7.013,0.8535,1.0917,1.15,1.520722222,1.014263078,0.741090605,2.30035384,1.4195,4.158,1.0163,1.1104,1.3656,1.908377778,1.485456192,0.766555071,3.050200485,1.5372,5.593,9,9,9,9,0,9,9,9,9
22,PLYC,0.115,0.137,0.154,0.365,0.418732015,-0.154924467,0.884924467,0.319,1.1,1.1912,1.67,1.773,3.34154,3.451296598,-0.943810733,7.626890733,2.628,9.4455,0.589,0.6056,0.774,0.78524,0.191773325,0.547121967,1.023358033,0.9536,1.004,5,5,5,5,0,5,5,5,5
23,PNNO,1e-04,1e-04,1e-04,1e-04,NA,NA,NA,1e-04,1e-04,0.269,0.269,0.269,0.269,NA,NA,NA,0.269,0.269,0.413,0.413,0.413,0.413,NA,NA,NA,0.413,0.413,1,1,1,1,NA,NA,NA,1,1
24,POLY,1e-04,0.05725,0.2145,0.309342453,0.363585376,0.239320256,0.379364649,0.43725,2.224,0.1172,1.674175,2.8445,3.387827358,2.219003677,2.96047378,3.815180937,5.027,10.271,0.0238,0.187,0.2825,0.479295283,0.543719474,0.374581413,0.584009153,0.53475,3.122,119,119,119,119,0,119,119,119,119
25,SCOR,1.333,1.478,1.623,2.139333333,1.154603973,-0.728861937,5.007528604,2.5425,3.462,7.582,8.8745,10.167,9.399,1.579828155,5.474489302,13.3235107,10.3075,10.448,2.236,2.9945,3.753,4.219333333,2.252991863,-1.377408717,9.816075384,5.211,6.669,3,3,3,3,0,3,3,3,3
26,SIPN,0.055,0.2,0.474,0.356444444,0.211426767,0.193927445,0.518961444,0.511,0.635,1.433,2.3362,2.775,2.856922222,0.928503648,2.143211138,3.570633306,3.186,4.351,0.2034,0.227,0.3405,0.334322222,0.110780569,0.249168739,0.419475706,0.449,0.462,9,9,9,9,0,9,9,9,9
27,STOM,0.065,0.1365,1.033,1.091642857,0.92973227,0.554831427,1.628454288,1.77325,2.837,0.533,1.140475,3.2405,3.178964286,2.23929583,1.886033366,4.471895205,4.7728,8.026,0.1286,0.3056,0.69905,0.745271429,0.590691933,0.404216061,1.086326796,0.92055,2.38,14,14,14,14,0,14,14,14,14
28,XNTH,0.4,0.408,0.416,0.772,0.630517248,-0.794291674,2.338291674,0.958,1.5,0.4965,0.68875,0.881,0.7605,0.228919746,0.191831827,1.329168173,0.8925,0.904,0.6393,0.64515,0.651,0.6731,0.048762998,0.551965997,0.794234003,0.69,0.729,3,3,3,3,0,3,3,3,3